Siteid,trophic_sta,trophic_asyn,foodweb_sta,rich_Phytoplankton,rich_Zooplankton,shan_Phytoplankton,shan_Zooplankton,simp_Phytoplankton,simp_Zooplankton,TP,Temp,Popsta_Zooplankton,Popsasyn_Zooplankton,Popsta_Phytoplankton,Popsasyn_Phytoplankton,pie_Phytoplankton,pie_Zooplankton,even_simp_Phytoplankton,even_simp_Zooplankton,microcystis_biomass,prop_biomass,zooplankton_biomass,phytoplankton_biomass,phy_zoo_ratio,program
Hagasjön,8.033596339,1.041024903,8.363173853,42.8,18.2,1.763815045,0.125758879,0.55152236,0.040302008,0.0083,11.912,1.346437657,2.360968475,1.266749199,6.770975395,0.46957761,0.04344035,0.052376079,0.057711464,0,0,0.104648993,2.521960413,24.0992325,Swedish
Lake_Taihu,1.341781515,1.208945411,1.622140605,12.90909091,10,0.843827627,0.962792133,0.43639246,0.449940671,0.307736364,29.69909091,0.8821175,1.797963073,0.609549608,1.990380955,0.361137494,0.42249752,0.207075005,0.204248211,4.508634519,0.606611754,5.11385794,7.432487896,1.453401323,TLLER
Långsjön,3.070451222,1.39688119,4.289055558,29.3,20.9,0.409429297,0.102866261,0.124633336,0.029679258,0.011316,11.597,0.704717831,2.492318006,0.867757483,4.235664995,0.122004492,0.033995357,0.040033074,0.050390426,0,0,0.306414066,1.392568703,4.544728382,Swedish
Lillsjön,3.400503996,2.169438147,7.37718309,45.4,15.6,1.550798941,0.222332444,0.497611077,0.083388927,0.075064,12.866,0.745820232,1.556208382,1.312874599,3.291208394,0.405723268,0.08051513,0.04491859,0.072135084,0.149896026,0.070165899,0.235810624,2.136308788,9.059425533,Swedish
ME,1.189688555,1.031645111,1.227336381,26.52,10.12,1.566660706,1.35726274,0.635774619,0.618035959,0.172306818,17.27290104,0.868303389,1.574680142,0.465657751,2.542588327,0.478557524,0.587309117,0.136294497,0.315022882,2.716473691,0.309648482,0.325851424,8.772766057,26.92259543,EDI
MO,1.491992746,1.067841468,1.593211724,28.63636364,11.18181818,1.812212671,1.618142281,0.745968027,0.717896561,0.198575397,18.38176683,0.571794585,1.341768115,0.682186659,2.255502331,0.541208341,0.670113841,0.158721539,0.359463575,2.68411928,0.289174791,0.298089569,9.281996094,31.13827873,EDI
Övre Skärsjön,7.462273914,1.13335432,8.457400377,27.9,14.43333333,0.405680762,0.024893939,0.118542181,0.006236123,0.006593333,13.219,0.710795492,2.345725445,1.102589747,8.124088382,0.122152697,0.009407449,0.041392683,0.073885222,0,0,0.094214167,1.961618884,20.82084828,Swedish
Remmarsjön,8.454418274,1.195687935,10.10884593,37.56,15.88,0.594945224,0.041129447,0.172754733,0.010939556,0.00945,11.2348,0.662017426,2.151403431,1.192342555,9.767886309,0.164432553,0.01503363,0.03268215,0.065038955,0,0,0.138641822,2.496736209,18.00853575,Swedish
Rotehogstjärnen,1.882798791,1.381962835,2.601957955,33.64,14.6,0.376584099,0.106271087,0.108318333,0.042023519,0.0131964,14.4236,0.613093759,1.291550891,1.171947459,3.500767532,0.107012314,0.039763823,0.033849556,0.072730266,0,0,0.583964718,1.48693004,2.546266912,Swedish
SP,1.666829506,1.334235446,2.223943011,19.5,18.08333333,2.057403586,1.816764995,0.777067566,0.766604577,0.01865,14.08172515,0.851940565,1.812905849,0.60414075,2.89928961,0.693707292,0.629520805,0.304727984,0.260967454,0,0,0.251202601,0.41125,1.637124769,EDI
Stora Envättern,8.622351078,1.114562989,9.610153394,45.73684211,14.05263158,0.845822462,0.045013893,0.244096148,0.012381779,0.007631579,14.84473684,0.750972074,1.599866004,1.285529763,9.037023544,0.221285543,0.017350482,0.029116212,0.075501783,0,0,0.11967519,2.867227351,23.95841059,Swedish
Stora Skärsjön,10.36991725,1.129621546,11.71408195,61.71428571,20.14285714,2.188075593,0.089038712,0.639030316,0.024760219,0.012625,15.21071429,0.953504271,1.706650259,1.457620561,7.910347825,0.53090624,0.029530407,0.04513058,0.051629175,0.014534284,0.00305846,0.089016873,4.752158194,53.3849147,Swedish
Västra Solsjön,5.236760876,1.145471708,5.998561426,40.58333333,14.5,0.582859327,0.022171115,0.165682168,0.005629147,0.003740417,11.7875,0.567501385,1.94922889,1.028571723,5.728165107,0.15764511,0.008304885,0.030097123,0.071336258,0.009441483,0.004123904,0.068169092,2.289452744,33.58490875,Swedish
